variable,description
v2xel_locelec,Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0).
v2xel_locelec_codelow,Lower bound (HPD Interval 68/70%) - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0).
v2xel_locelec_codehigh,Upper bound (HPD Interval 68/70%) - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0).
v2xel_locelec_sd,Standard deviation of the posterior distribution - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0).
e_v2xel_locelec_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0)."
e_v2xel_locelec_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0)."
e_v2xel_locelec_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Local government index (D). Multiplicative index of local elections and relative office power. Formula: v2ellocelc_scaled * v2ellocpwr_scaled. (Set to 0 if local government exists variable v2ellocgov is 0)."
v2xel_regelec,Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0).
v2xel_regelec_codelow,Lower bound (HPD Interval 68/70%) - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0).
v2xel_regelec_codehigh,Upper bound (HPD Interval 68/70%) - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0).
v2xel_regelec_sd,Standard deviation of the posterior distribution - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0).
e_v2xel_regelec_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0)."
e_v2xel_regelec_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0)."
e_v2xel_regelec_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Regional government index (D). Multiplicative index of regional elections and relative office power. Formula: v2elsrgel_scaled * v2elrgpwr_scaled. (Set to 0 if regional government exists variable v2elreggov is 0)."
v2xdl_delib,"Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
v2xdl_delib_codelow,"Lower bound (HPD Interval 68/70%) - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
v2xdl_delib_codehigh,"Upper bound (HPD Interval 68/70%) - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
v2xdl_delib_sd,"Standard deviation of the posterior distribution - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
e_v2xdl_delib_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
e_v2xdl_delib_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
e_v2xdl_delib_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Deliberative component index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from five indicators: v2dlreason (reasoned justification), v2dlcommon (common good), v2dlcountr (respect counterarguments), v2dlconslt (range of consultation), and v2dlengage (engaged society)."
v2x_egal,"Index estimate (Point Estimate, Median value) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3."
v2x_egal_codelow,Lower bound (HPD Interval 68/70%) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3.
v2x_egal_codehigh,Upper bound (HPD Interval 68/70%) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3.
v2x_egal_sd,Standard deviation of the posterior distribution - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3.
e_v2x_egal_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3."
e_v2x_egal_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3."
e_v2x_egal_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Egalitarian component index (D). Straight average of three egalitarian sub-components. Formula: (v2xeg_eqprotec + v2xeg_eqaccess + v2xeg_eqdr) / 3."
v2xeg_eqprotec,"Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
v2xeg_eqprotec_codelow,"Lower bound (HPD Interval 68/70%) - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
v2xeg_eqprotec_codehigh,"Upper bound (HPD Interval 68/70%) - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
v2xeg_eqprotec_sd,"Standard deviation of the posterior distribution - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
e_v2xeg_eqprotec_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
e_v2xeg_eqprotec_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
e_v2xeg_eqprotec_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Equal protection index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from social class equality in civil liberties (v2clacjust), social group equality in civil liberties (v2clsocgrp), and percentage of population with weaker civil liberties (v2clsnlpct)."
v2xeg_eqaccess,"Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
v2xeg_eqaccess_codelow,"Lower bound (HPD Interval 68/70%) - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
v2xeg_eqaccess_codehigh,"Upper bound (HPD Interval 68/70%) - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
v2xeg_eqaccess_sd,"Standard deviation of the posterior distribution - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
e_v2xeg_eqaccess_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
e_v2xeg_eqaccess_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
e_v2xeg_eqaccess_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Equal access index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from power distribution by socioeconomic position (v2pepwrses), social group (v2pepwrsoc), and gender (v2pepwrgen)."
v2xeg_eqdr,"Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
v2xeg_eqdr_codelow,"Lower bound (HPD Interval 68/70%) - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
v2xeg_eqdr_codehigh,"Upper bound (HPD Interval 68/70%) - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
v2xeg_eqdr_sd,"Standard deviation of the posterior distribution - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
e_v2xeg_eqdr_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
e_v2xeg_eqdr_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
e_v2xeg_eqdr_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Equal distribution of resources index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from spending profiles (v2dlencmps), welfare policies (v2dlunivl), educational equality (v2peedueq), and health equality (v2pehealth)."
v2x_regime,"Index estimate (Point Estimate, Median value) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
v2x_regime_codelow,"Lower bound (HPD Interval 68/70%) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
v2x_regime_codehigh,"Upper bound (HPD Interval 68/70%) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
v2x_regime_sd,"Standard deviation of the posterior distribution - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
e_v2x_regime_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
e_v2x_regime_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
e_v2x_regime_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Regimes of the World (RoW): Klasifikasi rezim politik (Closed Autocracy, Electoral Autocracy, Electoral Democracy, Liberal Democracy)."
v2x_accountability,"Index estimate (Point Estimate, Median value) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
v2x_accountability_codelow,"Lower bound (HPD Interval 68/70%) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
v2x_accountability_codehigh,"Upper bound (HPD Interval 68/70%) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
v2x_accountability_sd,"Standard deviation of the posterior distribution - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
e_v2x_accountability_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
e_v2x_accountability_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
e_v2x_accountability_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Accountability index (D). Aggregated via hierarchical latent variable analysis of Vertical (v2x_veracc), Horizontal (v2x_horacc), and Diagonal (v2x_diagacc) accountability indices."
v2x_veracc,"Index estimate (Point Estimate, Median value) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
v2x_veracc_codelow,"Lower bound (HPD Interval 68/70%) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
v2x_veracc_codehigh,"Upper bound (HPD Interval 68/70%) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
v2x_veracc_sd,"Standard deviation of the posterior distribution - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
e_v2x_veracc_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
e_v2x_veracc_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
e_v2x_veracc_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Vertical accountability index (D). Aggregated via hierarchical latent variable analysis of indicators for multiparty elections, barriers to parties, CSO participatory environment, etc."
v2x_diagacc,"Index estimate (Point Estimate, Median value) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
v2x_diagacc_codelow,"Lower bound (HPD Interval 68/70%) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
v2x_diagacc_codehigh,"Upper bound (HPD Interval 68/70%) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
v2x_diagacc_sd,"Standard deviation of the posterior distribution - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
e_v2x_diagacc_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
e_v2x_diagacc_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
e_v2x_diagacc_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Diagonal accountability index (D). Aggregated via hierarchical latent variable analysis of media censorship, harassment of journalists, CSO entry/exit, CSO repression, etc."
v2x_horacc,"Index estimate (Point Estimate, Median value) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
v2x_horacc_codelow,"Lower bound (HPD Interval 68/70%) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
v2x_horacc_codehigh,"Upper bound (HPD Interval 68/70%) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
v2x_horacc_sd,"Standard deviation of the posterior distribution - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
e_v2x_horacc_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
e_v2x_horacc_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
e_v2x_horacc_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Horizontal accountability index (D). Aggregated via hierarchical latent variable analysis of judicial independence, legislative oversight, executive compliance, etc."
v2x_neopat,"Index estimate (Point Estimate, Median value) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
v2x_neopat_codelow,"Lower bound (HPD Interval 68/70%) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
v2x_neopat_codehigh,"Upper bound (HPD Interval 68/70%) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
v2x_neopat_sd,"Standard deviation of the posterior distribution - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
e_v2x_neopat_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
e_v2x_neopat_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
e_v2x_neopat_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Neopatrimonial Rule Index: Sejauh mana negara dikelola dengan kewenangan personal (klientelisme, korupsi, presidensialisme)."
v2xnp_client,"Index estimate (Point Estimate, Median value) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
v2xnp_client_codelow,"Lower bound (HPD Interval 68/70%) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
v2xnp_client_codehigh,"Upper bound (HPD Interval 68/70%) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
v2xnp_client_sd,"Standard deviation of the posterior distribution - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
e_v2xnp_client_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
e_v2xnp_client_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
e_v2xnp_client_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Clientelism Index: Tingkat klientelisme politik, pembelian suara, dan pertukaran keuntungan materi."
v2xnp_pres,"Index estimate (Point Estimate, Median value) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai."
v2xnp_pres_codelow,Lower bound (HPD Interval 68/70%) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai.
v2xnp_pres_codehigh,Upper bound (HPD Interval 68/70%) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai.
v2xnp_pres_sd,Standard deviation of the posterior distribution - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai.
e_v2xnp_pres_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai."
e_v2xnp_pres_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai."
e_v2xnp_pres_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Presidentialism Index: Konsentrasi kekuasaan di tangan eksekutif tanpa pengawasan memadai."
v2xnp_regcorr,"Index estimate (Point Estimate, Median value) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis."
v2xnp_regcorr_codelow,Lower bound (HPD Interval 68/70%) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis.
v2xnp_regcorr_codehigh,Upper bound (HPD Interval 68/70%) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis.
v2xnp_regcorr_sd,Standard deviation of the posterior distribution - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis.
e_v2xnp_regcorr_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis."
e_v2xnp_regcorr_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis."
e_v2xnp_regcorr_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Regime corruption index: Korupsi yang merasuki elite politik dan aparatur negara secara sistemis."
v2x_civlib,"Index estimate (Point Estimate, Median value) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
v2x_civlib_codelow,"Lower bound (HPD Interval 68/70%) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
v2x_civlib_codehigh,"Upper bound (HPD Interval 68/70%) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
v2x_civlib_sd,"Standard deviation of the posterior distribution - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
e_v2x_civlib_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
e_v2x_civlib_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
e_v2x_civlib_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Civil liberties index: Indeks gabungan kebebasan pribadi, fisik, dan politik."
v2x_clphy,"Index estimate (Point Estimate, Median value) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
v2x_clphy_codelow,"Lower bound (HPD Interval 68/70%) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
v2x_clphy_codehigh,"Upper bound (HPD Interval 68/70%) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
v2x_clphy_sd,"Standard deviation of the posterior distribution - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
e_v2x_clphy_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
e_v2x_clphy_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
e_v2x_clphy_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Physical violence index: Tingkat kebebasan warga dari pembunuhan politik, penyiksaan, dan kekerasan fisik oleh negara."
v2x_clpol,"Index estimate (Point Estimate, Median value) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
v2x_clpol_codelow,"Lower bound (HPD Interval 68/70%) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
v2x_clpol_codehigh,"Upper bound (HPD Interval 68/70%) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
v2x_clpol_sd,"Standard deviation of the posterior distribution - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
e_v2x_clpol_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
e_v2x_clpol_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
e_v2x_clpol_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Political civil liberties index: Perlindungan kebebasan berekspresi, berkumpul, dan berserikat."
v2x_clpriv,"Index estimate (Point Estimate, Median value) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
v2x_clpriv_codelow,"Lower bound (HPD Interval 68/70%) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
